"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"PGR","Progressive Corporation (The)","26.93","16157900466.72","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pgr",
"BIN","Progressive Waste Solutions Ltd.","24.8","2856345059.2","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/bin",
"PLD","ProLogis, Inc.","36.97","18437811492","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pld",
"PRIS","Promotora De Informaciones SA","2.13","527879442.12","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/pris",
"PRIS/B","Promotora De Informaciones SA","2.8","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pris/b",
"PRO","PROS Holdings, Inc.","39.45","1109482450.35","n/a","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/pro",
"PRY","Prospect Capital Corporation","25.812","7743600","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pry",
"PB","Prosperity Bancshares, Inc.","63.23","4170243535.57","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/pb",
"PL","Protective Life Corporation","51.05","4010873274.35","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/pl",
"PL^B","Protective Life Corporation","24.85","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pl^b",
"PL^C","Protective Life Corporation","21.8043","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pl^c",
"PL^E","Protective Life Corporation","21.04","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pl^e",
"PLP","Protective Life Corporation","21.1033","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/plp",
"PRLB","Proto Labs, Inc.","71.54","1821506624.42","n/a","2012","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/prlb",
"PFS","Provident Financial Services, Inc","19.63","1175745622.35","n/a","2003","Finance","Savings Institutions","http://www.nasdaq.com/symbol/pfs",
"PFK","Prudential Financial, Inc.","26.17","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/pfk",
"PJH","Prudential Financial, Inc.","20.97","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/pjh",
"PRH","Prudential Financial, Inc.","21.26","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/prh",
"PRU","Prudential Financial, Inc.","91.91","42554330000","n/a","2001","Finance","Life Insurance","http://www.nasdaq.com/symbol/pru",
"GHY","Prudential Global Short Duration High Yield Fund, Inc.","17.47","714940166.13","n/a","2012","n/a","n/a","http://www.nasdaq.com/symbol/ghy",
"PUK","Prudential Public Limited Company","44.06","56381496860.5","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/puk",
"PUK^","Prudential Public Limited Company","24.92","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/puk^",
"PUK^A","Prudential Public Limited Company","24.66","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/puk^a",
"ISD","Prudential Short Duration High Yield Fund, Inc.","17.8999","595292033.9276","n/a","2012","n/a","n/a","http://www.nasdaq.com/symbol/isd",
"PSB","PS Business Parks, Inc.","76.24","2046649229.28","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/psb",
"PSB^R","PS Business Parks, Inc.","24.2","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psb^r",
"PSB^S","PS Business Parks, Inc.","21.54","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psb^s",
"PSB^T","PS Business Parks, Inc.","20.05","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psb^t",
"PSB^U","PS Business Parks, Inc.","19.02","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psb^u",
"PSB^V","PS Business Parks, Inc.","18.93","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psb^v",
"TLK","PT Telekomunikasi Indonesia, Tbk","35.11","85230274247.4","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/tlk",
"PEG","Public Service Enterprise Group Incorporated","31.85","16111681194.7","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/peg",
"PSA","Public Storage","151.6","26085339614.4","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/psa",
"PSA^O","Public Storage","25","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psa^o",
"PSA^P","Public Storage","23.75","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psa^p",
"PSA^Q","Public Storage","23.29","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/psa^q",
"PSA^R","Public Storage","22.94","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/psa^r",
"PSA^S","Public Storage","21.31","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/psa^s",
"PSA^T","Public Storage","20.64","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/psa^t",
"PSA^U","Public Storage","20.216","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/psa^u",
"PSA^V","Public Storage","19.41","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/psa^v",
"PSA^W","Public Storage","19","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psa^w",
"PSA^X","Public Storage","18.95","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/psa^x",
"PULS","Pulse Electronics Corporation","2.73","21726882.45","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/puls",
"PHA","PulteGroup, Inc.","24.95","0","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/pha",
"PHM","PulteGroup, Inc.","19.73","7557722699.3","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/phm",
"PBYI","Puma Biotechnology Inc","110.1","3158692370.4","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pbyi",
"PCF","Putnam High Income Bond Fund","8.3","142483029","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pcf",
"PMM","Putnam Managed Municipal Income Trust","6.7","386543783.4","n/a","1989","n/a","n/a","http://www.nasdaq.com/symbol/pmm",
"PIM","Putnam Master Intermediate Income Trust","5.08","333708369.92","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/pim",
"PMO","Putnam Municipal Opportunities Trust","10.99","471292478.44","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/pmo",
"PPT","Putnam Premier Income Trust","5.52","783974991.6","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/ppt",
"PVH","PVH Corp.","134.44","10973316800.4","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/pvh",
"PVR","PVR  Partners, L.P.","26.98","3668308800.94","n/a","2001","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/pvr",
"PZN","Pzena Investment Management Inc","10.82","131498608.62","n/a","2007","Finance","Investment Managers","http://www.nasdaq.com/symbol/pzn",
"QEPM","QEP Midstream Partners, LP","23.01","1254045000","n/a","2013","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/qepm",
"QEP","QEP Resources, Inc.","30.97","5552335728.94","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/qep",
"QIHU","Qihoo 360 Technology Co. Ltd.","80.81","9921156672.38","n/a","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/qihu",
"QRE","QR Energy, LP","16.87","1092352035.46","n/a","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/qre",
"QTS","QTS Realty Trust, Inc.","23.44","679121822.56","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/qts",
"QUAD","Quad Graphics, Inc","26.7","1282647254.1","n/a","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/quad",
"KWR","Quaker Chemical Corporation","77.64","1023863524.8","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/kwr",
"NX","Quanex Building Products Corporation","20.02","745506561.8","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/nx",
"PWR","Quanta Services, Inc.","31.16","6617146200.16","n/a","n/a","Capital Goods","Engineering & Construction","http://www.nasdaq.com/symbol/pwr",
"QTM","Quantum Corporation","1.25","310143037.5","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/qtm",
"DGX","Quest Diagnostics Incorporated","54.5","7925768938.5","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/dgx",
"STR","Questar Corporation","22.98","4023117677.1","n/a","n/a","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/str",
"KWK","Quicksilver Resources Inc.","3.05","540203141.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/kwk",
"ZQK","Quiksilver, Inc.","8.62","1451329280.92","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/zqk",
"Q","Quintiles Transitional Holdings Inc.","46.4","5982287828.8","n/a","2013","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/q",
"CTQ","Qwest Corporation","23.45","0","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctq",
"CTU","Qwest Corporation","22.84","0","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctu",
"CTW","Qwest Corporation","23.97","0","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctw",
"CTX","Qwest Corporation","22.98","2879844683.76","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctx",
"CTY","Qwest Corporation","19.27","0","n/a","2013","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cty",
"RAX","Rackspace Hosting, Inc","38.36","5363254529.36","n/a","2008","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/rax",
"RDN","Radian Group Inc.","14.63","2532445904.45","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/rdn",
"RSH","Radioshack Corporation","2.67","267431851.14","n/a","n/a","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/rsh",
"RAS","RAIT Financial Trust","9.04","635112721.28","n/a","1998","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ras",
"RAS^A","RAIT Financial Trust","22.0999","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^a",
"RAS^B","RAIT Financial Trust","24.0324","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^b",
"RAS^C","RAIT Financial Trust","25.3248","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ras^c",
"RALY","Rally Software Development Corp.","19.16","467752505.2","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/raly",
"RL","Ralph Lauren Corporation","176.03","15902621668.18","n/a","1997","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/rl",
"RPT","Ramco-Gershenson Properties Trust","15.73","1046995123.46","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rpt",
"RPT^D","Ramco-Gershenson Properties Trust","58.42","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rpt^d",
"RRC","Range Resources Corporation","83.43","13634263754.28","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rrc",
"RJD","Raymond James Financial, Inc.","25","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/rjd",
"RJF","Raymond James Financial, Inc.","51.81","7256507097.51","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/rjf",
"RYN","Rayonier Inc.","42.88","5413855093.12","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ryn",
"RTN","Raytheon Company","89.6","28624691200","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/rtn",
"RCS","RCM Strategic Global Government Fund, Inc.","10.18","414826194.3","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/rcs",
"RCAP","RCS CAPITAL CORPORATION","17.8","471700000","n/a","2013","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/rcap",
"RMAX","RE/MAX Holdings, Inc.","32.29","374821415.88","n/a","2013","Finance","Real Estate","http://www.nasdaq.com/symbol/rmax",
"RLD","RealD Inc","8.6","428513593.2","n/a","2010","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/rld",
"RLGY","Realogy Holdings Corp.","49.38","7209962245.08","n/a","2012","Finance","Real Estate","http://www.nasdaq.com/symbol/rlgy",
"O","Realty Income Corporation","38.13","7859324447.79","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/o",
"O^E","Realty Income Corporation","24.55","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/o^e",
"O^F","Realty Income Corporation","23.72","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/o^f",
"RHT","Red Hat, Inc.","55.98","10608178539.24","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/rht",
"RLH","Red Lion Hotels Corporation","6.16","121262020.88","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/rlh",
"RLH^A","Red Lion Hotels Corporation","26.2","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rlh^a",
"RWT","Redwood Trust, Inc.","19","1565493201","n/a","1995","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rwt",
"ENL","Reed Elsevier NV","42.04","14147124862.6","n/a","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/enl",
"RUK","Reed Elsevier PLC","59.03","17229937076.48","n/a","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/ruk",
"RBC","Regal Beloit Corporation","73.5","3312504027","n/a","n/a","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/rbc",
"RGC","Regal Entertainment Group","19.64","3060548237.8","n/a","2002","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/rgc",
"REG","Regency Centers Corporation","46.78","4319078391.68","n/a","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/reg",
"REG^F","Regency Centers Corporation","21.75","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/reg^f",
"REG^G","Regency Centers Corporation","19.6","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/reg^g",
"RGP","Regency Energy Partners LP","26.39","5726348550.65","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/rgp",
"RM","Regional Management Corp.","34","428832752","n/a","2012","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/rm",
"RF","Regions Financial Corporation","9.85","13568892174.25","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/rf",
"RF^A","Regions Financial Corporation","22.17","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rf^a",
"RGS","Regis Corporation","14.74","835013069.88","n/a","1991","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/rgs",
"RGA","Reinsurance Group of America, Incorporated","76.82","5422424662.92","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/rga",
"RZA","Reinsurance Group of America, Incorporated","24.36","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rza",
"RS","Reliance Steel & Aluminum Co.","75.05","5804637930.5","n/a","1994","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/rs",
"RNR","RenaissanceRe Holdings Ltd.","92.26","4097581483.38","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/rnr",
"RNR^C","RenaissanceRe Holdings Ltd.","22.03","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rnr^c",
"RNR^E","RenaissanceRe Holdings Ltd.","18.5537","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rnr^e",
"SOL","Renesola Ltd.","3.22","277907999.04","n/a","2008","Technology","Semiconductors","http://www.nasdaq.com/symbol/sol",
"RENN","Renren Inc.","3","1138853025","n/a","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/renn",
"RNF","Rentech Nitrogen Partners, L.P.","17.3","672106539.7","n/a","2011","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/rnf",
"RSG","Republic Services, Inc.","33.69","12131581784.67","n/a","1998","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/rsg",
"RMD","ResMed Inc.","46.95","6670723326.3","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/rmd",
"REN           ","Resolute Energy Corporation","9.18","704795877","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ren           ",
"REN/WS","Resolute Energy Corporation","0.27","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ren/ws",
"RFP","Resolute Forest Products Inc.","15.63","1479682378.14","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/rfp",
"RSO","Resource Capital Corp.","6.09","777967926.96","n/a","2006","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rso",
"RSO^A","Resource Capital Corp.","23.3799","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rso^a",
"RSO^B","Resource Capital Corp.","22.391","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rso^b",
"RH","Restoration Hardware Holdings Inc.","65.7","2556107315.1","n/a","2012","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/rh",
"RPAI","Retail Properties of America, Inc.","12.86","3038848465.34","n/a","2012","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rpai",
"RPAI^A","Retail Properties of America, Inc.","21.472","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rpai^a",
"REV","Revlon, Inc.","25.02","1309967085.96","n/a","1996","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/rev",
"REX","REX American Resources Corporation","46.33","374241972.18","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/rex",
"REXR","Rexford Industrial Realty, Inc.","13.43","344165184.28","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rexr",
"RXN","Rexnord Corporation","26.77","2617398335.05","n/a","2012","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/rxn",
"RAI","Reynolds American Inc","49.23","26606542297.05","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/rai",
"RNO","Rhino Resource Partners LP","11.28","327901546.08","n/a","2010","Energy","Coal Mining","http://www.nasdaq.com/symbol/rno",
"RNG","Ringcentral, Inc.","18.18","1131414265.44","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/rng",
"RIOM","Rio Alto Mining Limited","1.5","265121523","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/riom",
"RIO","Rio Tinto Plc","54.69","101050713000","n/a","2002","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/rio",
"RBA","Ritchie Bros. Auctioneers Incorporated","22.7","2425522240","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/rba",
"RAD","Rite Aid Corporation","5.18","4745787266.64","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/rad",
"RLI","RLI Corp.","96.75","2074979448","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/rli",
"RLJ","RLJ Lodging Trust","24.54","3010742391.06","n/a","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/rlj",
"RRTS","Roadrunner Transportation Systems, Inc","26.58","996557906.34","n/a","2010","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/rrts",
"RHI","Robert Half International Inc.","41.98","5818299037.44","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/rhi",
"RKT","Rock-Tenn Company","104.12","7472579117.44","n/a","1994","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/rkt",
"ROK","Rockwell Automation, Inc.","117.1","16254056366.2","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/rok",
